last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2019-03-05,104,Entire home/apt,125749836,Real Bed,34,125749836,Apartment,Canada,True,2,Montreal,21,46,71,332,2019,03,05
2018-02-19,6,Entire home/apt,36336254,Real Bed,801,36336254,Apartment,Hong Kong,False,1,Hong Kong,0,0,0,0,2018,02,19
2019-01-24,121,Entire home/apt,75552448,Real Bed,60,75552448,Apartment,Portugal,False,5,Porto,13,43,73,341,2019,01,24
2019-01-02,10,Private room,9269441,Real Bed,119,9269441,House,Brazil,False,4,Rio De Janeiro,25,55,85,360,2019,01,02
2017-08-15,3,Entire home/apt,131847600,Real Bed,589,131847600,Apartment,Hong Kong,False,1,Hong Kong,0,0,0,0,2017,08,15
2019-02-14,38,Entire home/apt,80789381,Real Bed,159,80789381,Townhouse,United States,False,4,New York,4,9,26,217,2019,02,14
2018-11-08,19,Entire home/apt,132684961,Real Bed,135,132684961,Barn,United States,True,1,New York,6,11,11,141,2018,11,08
2018-07-16,1,Entire home/apt,82920107,Real Bed,149,82920107,Apartment,United States,True,3,New York,5,35,65,339,2018,07,16
2018-12-26,5,Entire home/apt,43399557,Real Bed,801,43399557,Apartment,Hong Kong,False,1,Hong Kong,9,39,69,344,2018,12,26
2018-11-06,24,Entire home/apt,44830407,Real Bed,65,44830407,Apartment,Portugal,True,1,Porto,28,58,83,357,2018,11,06
2018-10-15,23,Private room,7657931,Real Bed,29,7657931,Condominium,Portugal,False,1,Porto,30,44,70,70,2018,10,15
2019-02-10,4,Private room,69992876,Real Bed,26,69992876,Apartment,Turkey,False,1,Istanbul,30,60,90,365,2019,02,10
2019-01-13,21,Entire home/apt,104269504,Real Bed,417,104269504,House,United States,True,3,New York,17,26,34,232,2019,01,13
2018-09-22,13,Entire home/apt,126533604,Real Bed,49,126533604,Apartment,Portugal,False,5,Porto,0,0,0,0,2018,09,22
2019-02-10,59,Entire home/apt,28389484,Real Bed,70,28389484,Apartment,Portugal,True,5,Porto,19,32,43,294,2019,02,10
2019-01-04,13,Private room,779551,Real Bed,100,779551,Apartment,United States,True,2,New York,0,0,0,0,2019,01,04
2019-03-02,110,Entire home/apt,131866134,Real Bed,80,131866134,Apartment,United States,True,1,New York,4,6,11,40,2019,03,02
2019-01-02,86,Entire home/apt,100267827,Real Bed,30,100267827,Apartment,Portugal,True,1,Porto,10,28,50,50,2019,01,02
2019-02-09,50,Entire home/apt,983113,Real Bed,155,983113,Guest suite,United States,True,1,New York,13,43,71,340,2019,02,09
2018-09-29,4,Private room,4965048,Real Bed,68,4965048,Hut,United States,True,16,New York,10,35,57,316,2018,09,29
2017-01-07,3,Entire home/apt,10086004,Real Bed,590,10086004,House,Australia,False,1,Sydney,0,0,0,0,2017,01,07
